description,name,status,resource,sponsor,startdate,enddate,githuburl,svnurl,languages,main_language,cloc_language,comments,resolution/_tlp,mentors/mentor/0/_username,mentors/mentor/0/__text,mentors/mentor/1/_username,mentors/mentor/1/__text,mentors/mentor/2/_username,mentors/mentor/2/__text,reporting/_group,champion/_availid,champion/__text,mentors/mentor/3/_username,mentors/mentor/3/__text,resolution/_link,resolution/_url,resolution/__text,_resourceAliases,resolution,mentors/mentor/4/_username,mentors/mentor/4/__text,mentors/mentor/5/_username,mentors/mentor/5/__text,mentors/mentor/6/_username,mentors/mentor/6/__text,mentors/mentor/7/_username,mentors/mentor/7/__text,mentors/mentor/8/_username,mentors/mentor/8/__text,mentors/mentor/9/_username,mentors/mentor/9/__text,reporting/__text,graduating,changes/change/_resource,changes/change/_enddate,changes/change/__text,__text,reporting/_monthly,_longname
Kylin is a distributed and scalable OLAP engine built on Hadoop to support extremely large datasets.,Kylin,graduated,kylin,Incubator,2014-11-25,2015-11-18,https://github.com/apache/Kylin,,"{""Java"": 11872775, ""JavaScript"": 1837880, ""Inno Setup"": 1219521, ""C++"": 594708, ""HTML"": 502825, ""Shell"": 197003, ""CSS"": 98255, ""FreeMarker"": 87797, ""Less"": 51933, ""Scala"": 43219, ""C"": 32751, ""Python"": 26853, ""Dockerfile"": 11247}",Java,Java,,true,omalley,Owen O'Malley,tdunning,Ted Dunning,hsaputra,Henry Saputra,,omalley,Owen O’Malley,jhyde,Julian Hyde,,,,,,ptgoetz,P. Taylor Goetz,,,,,,,,,,,,,,,,,,
Lens is a platform that enables multi-dimensional queries in a unified way over datasets stored in multiple warehouses. Lens integrates Apache Hive with other data warehouses by tiering them together to form logical data cubes.,Lens,graduated,lens,Incubator,2014-10-10,2015-08-19,https://github.com/apache/Lens,,"{""Java"": 6209461, ""JavaScript"": 458026, ""Shell"": 49956, ""Python"": 42288, ""HTML"": 13585, ""TSQL"": 13500, ""CSS"": 5937, ""Dockerfile"": 1776}",Java,Java,,true,cdouglas,Christopher Douglas,jghoman,Jakob Glen Homan,jbonofre,Jean-Baptiste Onofré,,vinodkv,Vinod Kumar Vavilapalli,,,,,,,,,,,,,,,,,,,,,,,,,,,
Content Management and publishing system based on Cocoon,Lenya,graduated,lenya,Cocoon,2003-03-15,2004-08-18,https://github.com/apache/Lenya,,"{""Java"": 2328029, ""XSLT"": 598838, ""JavaScript"": 84684, ""CSS"": 30572, ""HTML"": 28814, ""Shell"": 23705, ""Batchfile"": 8295, ""NSIS"": 4675}",Java,Java,,true,stevenn,Steven Noels,stefano,Stefano Mazzocchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"libcloud is a standard client library for many popular cloud providers, written in python",Libcloud,graduated,libcloud,Incubator,2009-11-01,2011-05-19,https://github.com/apache/Libcloud,,"{""Python"": 8854548, ""Shell"": 10171, ""HTML"": 2545, ""Dockerfile"": 1819, ""PowerShell"": 410}",Python,JSON,,true,pquerna,Paul Querna,jfclere,Jean-Frederic Clere,antelder,Anthony Elder,,,,carlos,Carlos Sanchez,,,,,,,,,,,,,,,,,,,,,,,,,
"Apache Liminal is an end-to-end platform for data engineers and scientists, allowing them to build, train and deploy machine learning models in a robust and agile way.",Liminal,current,liminal,Incubator,2020-05-23,,https://github.com/apache/incubator-Liminal,,"{""Python"": 273834, ""Shell"": 3394, ""Dockerfile"": 3179}",Python,Python,,,jbonofre,Jean-Baptiste Onofré,hsaputra,Henry Saputra,umamahesh,Uma Maheswara Rao G,1,jbonofre,Jean-Baptiste Onofré,davor,Davor Bonaci,,,,,,chenliang613,Liang Chen,,,,,,,,,,,,,,,,,,
"Livy is web service that exposes a REST interface for managing long running Apache Spark contexts in your cluster. With Livy, new applications can be built on top of Apache Spark that require fine grained interaction with many Spark contexts.",Livy,current,livy,Incubator,2017-06-05,,https://github.com/apache/incubator-Livy,,"{""Scala"": 931491, ""Java"": 396514, ""Python"": 96343, ""Shell"": 19641, ""JavaScript"": 14812, ""HTML"": 8623, ""FreeMarker"": 2384, ""R"": 1158, ""CSS"": 1140}",Scala,Scala,,,bikas,Bikas Saha,lresende,Luciano Resende,jbonofre,Jean-Baptiste Onofré,1,busbey,Sean Busbey,,,,,,,,,,,,,,,,,,,,,,,,,,True,
Logging for C++. N.B. the code has re-entered the Incubator as log4cxx2.,log4cxx,graduated,log4cxx,Logging Services,2004-01-31,2005-01-11,https://github.com/apache/logging-log4cxx,,{},C++,C++,"Orig project, died, and then taken again by log4cxx2, and now it is the main website for log4c++",,ceki,Ceki Gülcü,,,,,,,,,,,http://logging.apache.org/log4cxx/,,,,,,,,,,,,,,,,,,,,,,,
Logging for C++. N.B. This is a reboot of the Log4cxx podling which previously graduated.,log4cxx2,graduated,log4cxx2,Logging Services,2013-12-09,2017-03-16,,http://svn.apache.org/repos/asf/incubator/log4cxx,,,,This has taken over from log4cxx,,rgoers,Ralph Goers,,,,,,grobmeier,Christian Grobmeier,,,,http://logging.apache.org/log4cxx/latest_stable/,,,,,,,,,,,,,,,,,,,,,,,
Logging for .NET,log4net,graduated,log4net,Logging Services,2004-01-15,2007-02-21,https://github.com/apache/logging-log4net,,"{""C#"": 2318748, ""JavaScript"": 65175, ""CSS"": 4409, ""Batchfile"": 3799, ""PowerShell"": 747}",C#,C#,,,ceki,Ceki Gülcü,mwomack,Mark Womack,carnold,Curt Arnold,,,,,,,http://logging.apache.org/log4net/,,,,,,,,,,,,,,,,,,,,,,,
Logging for PHP.,Log4php,graduated,log4php,Logging Services,2004-01-31,2010-03-07,https://github.com/apache/logging-log4php,,"{""PHP"": 564883, ""JavaScript"": 58905, ""CSS"": 3502, ""XSLT"": 1549}",PHP,JavaScript,,,gmcdonald,Gavin McDonald,niclas,Niclas Hedhman,jim,Jim Jagielski,,,,,,,http://logging.apache.org/log4php/,,,,,,,,,,,,,,,,,,,,,,,
The Lokahi project will create a management console for Apache HTTP Server and Apache Tomcat projects on a framework extensible to other ASF projects.,Lokahi,retired,lokahi,Incubator,2006-03-01,2009-08-16,,https://svn.apache.org/repos/asf/incubator/lokahi,,,,,,wrowe,Will Rowe,yoavs,Yoav Shapira,,,,,,,,,,,,Retired due to inactivity. Some talk of moving parts of the codebase to Tomcat.,,,,,,,,,,,,,,,,,,,,
"Lucene.NET is a source code, class-per-class, API-per-API and algorithmatic port of the Java Lucene search engine to the C# and .NET platform utilizing Microsoft .NET Framework.",Lucene.NET,graduated,lucene.net,Lucene,2011-02-05,2012-08-15,https://github.com/apache/Lucene.NET,,"{""C#"": 40935109, ""PowerShell"": 107332, ""HTML"": 79746, ""JavaScript"": 57876, ""XSLT"": 21773, ""CSS"": 12388, ""Liquid"": 5637, ""Batchfile"": 5212, ""Gnuplot"": 2444}",C#,C#,,,gianugo,Gianugo Rabellino,bodewig,Stefan Bodewig,bimargulies,Benson Margulies,,,,,,,http://lucenenet.apache.org/,,"lucene-net, lucene-dot-net",,,,,,,,,,,,,,,,,,,,,
Lucene for C.,Lucene4c,retired,lucene4c,Lucene,2005-02-21,2006-10-15,,https://svn.apache.org/repos/asf/incubator/lucene4c,,,,,,ehatcher,Erik Hatcher,,,,,,,,,,,,,,Progress stalled as developers ran out of free time and motivation.,,,,,,,,,,,,,,,,,,,,
"A loose port of the Lucene search engine library, written in C and targeted at dynamic language users.",Lucy,graduated,lucy,Incubator,2010-07-22,2012-02-22,https://github.com/apache/Lucy,,"{""C"": 2803774, ""Objective-C"": 1182263, ""Perl"": 732033, ""Go"": 235042, ""Shell"": 10715, ""Java"": 8587, ""Ruby"": 8374, ""HTML"": 4793, ""Yacc"": 4679, ""Batchfile"": 4115, ""Vim script"": 2936, ""Makefile"": 1869, ""CSS"": 1202}",C,C,,true,hossman,Chris Hostetter,mattmann,Chris Mattmann,joes,Joe Schaefer,,,,upayavira,Upayavira,,,,,,,,,,,,,,,,,,,,,,,,,
Big Data Machine Learning in SQL for Data Scientists.,MADlib,graduated,madlib,Incubator,2015-09-15,2017-07-19,https://github.com/apache/MADlib,,"{""C++"": 1427710, ""C"": 1337845, ""Python"": 456163, ""CMake"": 184667, ""Shell"": 33608, ""PLpgSQL"": 16618, ""Makefile"": 2615, ""HTML"": 458}",C++,C,,,cos,Konstantin Boudnik,tdunning,Ted Dunning,rvs,Roman Shaposhnik,,rvs,Roman Shaposhnik,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Connectors for content repositories like Sharepoint, Documentum, etc.",ManifoldCF,graduated,manifoldcf,Lucene,2010-01-10,2012-05-16,https://github.com/apache/ManifoldCF,,"{""Java"": 12948049, ""HTML"": 646274, ""JavaScript"": 233784, ""Python"": 158817, ""Less"": 61618, ""C"": 40584, ""Shell"": 37379, ""Batchfile"": 33401, ""XSLT"": 31845, ""Makefile"": 1712}",Java,Java,,true,gsingers,Grant Ingersoll,jukka,Jukka Zitting,gianugo,Gianugo Rabellino,,,,,,,,,"lucene-connectors, connectors",,,,,,,,,,,,,,,,,,,,,Manifold Connector Framework (ManifoldCF)
An open implementation of a Linked Data Platform.,Marmotta,graduated,marmotta,Incubator,2012-12-03,2013-11-20,https://github.com/apache/Marmotta,,"{""Java"": 8406678, ""C++"": 270583, ""HTML"": 254796, ""JavaScript"": 166380, ""PHP"": 68015, ""CSS"": 59402, ""FreeMarker"": 55304, ""CMake"": 20119, ""Shell"": 19257, ""CoffeeScript"": 17005, ""XSLT"": 5264, ""PLpgSQL"": 1612, ""Batchfile"": 1222, ""C"": 499}",Java,Java,,true,fchrist,Fabian Christ,nandana,Nandana Mihindukulasooriya,andy,Andy Seaborne,,andy,Andy Seaborne,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marvin-AI is an open-source artificial intelligence (AI) platform that helps data scientists, prototype and productionalize complex solutions with a scalable, low-latency, language-agnostic, and standardized architecture while simplifies the process of exploration and modeling.",Marvin-AI,current,marvin,Incubator,2018-08-21,,https://github.com/apache/incubator-marvin,,"{""Jupyter Notebook"": 1569318, ""Python"": 470464, ""Scala"": 202881, ""HTML"": 181178, ""Dockerfile"": 41603, ""Makefile"": 30035, ""JavaScript"": 28843, ""CSS"": 6757, ""Shell"": 4458}",,Python,,,lresende,Luciano Resende,colen,William Colen,,,3,lresende,Luciano Resende,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merlin eclipse plugin merged with an existing eclipse plugin already at avalon.,MerlinDeveloper,graduated,merlin-developer,Avalon,2004-01-15,2004-01-15,,http://svn.apache.org/repos/asf/avalon,,,,,,leosimons,Leo Simons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teaclave is a universal secure computing platform.,Teaclave,current,teaclave,Incubator,2019-08-20,,https://github.com/apache/incubator-Teaclave,,"{""Rust"": 1313676, ""C++"": 118072, ""CMake"": 66992, ""Python"": 58144, ""C"": 56731, ""Shell"": 26418, ""Swift"": 22414, ""Dockerfile"": 7954, ""Jinja"": 6049, ""Objective-C"": 1074, ""Makefile"": 951, ""Ruby"": 718}",Rust,Rust,,,felixcheung,Felix Cheung,kamaci,Furkan Kamaci,daijy,Jianyong Dai,1,zjshen,Zhijie Shen,mattsicker,Matt Sicker,,,,,,zjshen,Zhijie Shen,,,,,,,,,,,,,,,,,,
Mesos is a cluster manager that provides resource sharing and isolation across cluster applications.,Mesos,graduated,mesos,Incubator,2010-12-23,2013-06-19,https://github.com/apache/Mesos,,"{""C++"": 15375934, ""Python"": 354609, ""M4"": 203083, ""Java"": 152539, ""Shell"": 147154, ""Makefile"": 120855, ""CMake"": 110291, ""HTML"": 101009, ""JavaScript"": 96892, ""Dockerfile"": 17479, ""CSS"": 8663, ""Batchfile"": 8107, ""Ruby"": 6125, ""PowerShell"": 2547, ""Groovy"": 1459}",C++,C++,,true,mattmann,Chris Mattmann,brianm,Brian McCallister,tomwhite,Tom White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MetaModel is a data access framework, providing a common interface for exploration and querying of different types of datastores.",MetaModel,graduated,metamodel,Incubator,2013-06-12,2014-11-20,https://github.com/apache/MetaModel,,"{""Java"": 3762073, ""Dockerfile"": 203}",Java,Java,,true,hsaputra,Henry Saputra,arvind,Arvind Prabhakar,mfranklin,Matt Franklin,,,,nslater,Noah Slater,,,,,,,,,,,,,,,,,,,,,,,,,
Metron is a project dedicated to providing an extensible and scalable advanced network security analytics tool. It has strong foundations in the Apache Hadoop ecosystem.,Metron,graduated,metron,Incubator,2015-12-06,2017-04-19,https://github.com/apache/Metron,,"{""Java"": 7489872, ""HTML"": 2157386, ""TypeScript"": 1299353, ""CSS"": 786331, ""Python"": 356749, ""Shell"": 226434, ""JavaScript"": 185836, ""C"": 49573, ""Ruby"": 26376, ""Dockerfile"": 16693, ""ANTLR"": 12811, ""Scala"": 2700, ""Makefile"": 2579, ""TSQL"": 2401}",Java,Java,,true,billie,Billie Rinaldi,mattmann,Chris Mattmann,omalley,Owen O'Malley,,,,ptgoetz,P. Taylor Goetz,,,,,,vinodkv,Vinod Kumar Vavilapalli,,,,,,,,,,,,,,,,,,
Milagro is core security infrastructure and crypto libraries for decentralized networks and distributed systems.,Milagro,current,milagro,Incubator,2015-12-21,,https://github.com/apache/incubator-Milagro,,"{""HTML"": 21073239, ""JavaScript"": 127358, ""CSS"": 34365, ""Shell"": 1776, ""Dockerfile"": 148}",HTML,HTML,,,niq,Nick Kew,jfclere,Jean-Frederic Clere,,,1,niq,Nick Kew,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mnemonic is a Java based non-volatile memory library for in-place structured data processing and computing.,Mnemonic,graduated,mnemonic,Incubator,2016-03-03,2017-11-15,https://github.com/apache/Mnemonic,,"{""Java"": 880835, ""C"": 142470, ""Scala"": 51773, ""CMake"": 15812, ""Shell"": 14179, ""Python"": 10960, ""Dockerfile"": 3213}",Java,Java,,true,phunt,Patrick Hunt,apurtell,Andrew Purtell,jamestaylor,James Taylor,,phunt,Patrick Hunt,hsaputra,Henry Saputra,,,,,,,,,,,,,,,,,,,,,,,,,
FTP protocol module for Apache httpd 2.x,mod_ftp,graduated,mod_ftp,HTTP Server,2005-08-06,2007-02-21,,http://svn.apache.org/repos/asf/httpd/mod_ftp,,,,,,jim,Jim Jagielski,,,,,,,,,,,http://httpd.apache.org/mod_ftp/,,,,,,,,,,,,,,,,,,,,,,,
"MRQL is a query processing and optimization system for large-scale, distributed data analysis, built on top of Apache Hadoop, Hama, Spark, and Flink.",MRQL,retired,mrql,Incubator,2013-03-13,2017-08-17,https://github.com/apache/incubator-retired-MRQL,,"{""Java"": 614126, ""Shell"": 18744, ""Lex"": 18106}",Java,Java,,,adc,Alan Cabrera,edwardyoon,Edward J. Yoon,mnour,Mohammad Nour El-Din,,edwardyoon,Edward J. Yoon,,,,,,,Retired.,,,,,,,,,,,,,,,,,,,,
MRUnit is a library to support unit testing of Hadoop MapReduce jobs.,MRUnit,graduated,mrunit,Incubator,2011-03-08,2012-05-16,https://github.com/apache/MRUnit,,"{""Java"": 200286, ""HTML"": 13920, ""Shell"": 1262}",Java,Java,,true,niall,Nigel Daley,phunt,Patrick Hunt,mattmann,Chris Mattmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A robust implementation of the OASIS WSDM, Management using Web Services (MuWS) specification",Muse,graduated,muse,Web Services,2004-11-08,2005-06-03,,http://svn.apache.org/repos/asf/webservices/archive/muse,,,,,,dims,Davanum Srinivas,,,,,,,,,,,http://ws.apache.org/muse/,,,,,,,,,,,,,,,,,,,,,,,
A Flexible and Efficient Library for Deep Learning,MXNet,current,mxnet,Incubator,2017-01-23,,https://github.com/apache/MXNet,,"{""C++"": 10738827, ""Python"": 8300135, ""Jupyter Notebook"": 2024872, ""Cuda"": 1404275, ""CMake"": 208271, ""Shell"": 159086, ""C"": 149389, ""Groovy"": 129484, ""Dockerfile"": 55057, ""Java"": 15921, ""R"": 11692, ""Makefile"": 11379, ""PowerShell"": 6699}",C++,C/C++ Header,,,weimer,Markus Weimer,bob,Bob Paulin,jasondai,Jason Dai,1,bayard,Henri Yandell,kamaci,Furkan Kamaci,,,,,,kezhenxu94,Zhenxu Ke,,,,,,,,,,,,,,,,,,
MyFaces is a framework for building Java Server application GUIs based on JavaServer Faces (certified implementation of JSR-127).,MyFaces,graduated,myfaces,Incubator,2004-07-16,2005-03-09,https://github.com/apache/MyFaces,,"{""Java"": 11411260, ""HTML"": 775722, ""JavaScript"": 406841, ""Shell"": 3932, ""CSS"": 1452}",Java,Java,,true,husted,Ted Husted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mynewt is a real-time operating system for constrained embedded systems like wearables, lightbulbs, locks and doorbells. It works on a variety of 32-bit MCUs (microcontrollers), including ARM Cortex-M and MIPS architectures.",Mynewt,graduated,mynewt,Incubator,2015-10-20,2017-06-21,https://github.com/apache/Mynewt-core,,"{""C"": 260659954, ""Assembly"": 4716096, ""HTML"": 632987, ""Shell"": 239908, ""CMake"": 127976, ""Batchfile"": 106749, ""Python"": 48016, ""GDB"": 33827, ""Makefile"": 31572, ""Rust"": 4680}",C,C/C++ Header,,true,sterling,Sterling Hughes,jim,Jim Jagielski,jmclean,Justin Mclean,,marvin,Marvin Humphrey,gstein,Greg Stein,,,,,,ptgoetz,P. Taylor Goetz,,,,,,,,,,,,,,,,,,
Myriad enables co-existence of Apache Hadoop YARN and Apache Mesos together on the same cluster and allows dynamic resource allocations across both Hadoop and other applications running on the same physical data center infrastructure.,Myriad,retired,myriad,Incubator,2015-03-01,2020-01-24,https://github.com/apache/incubator-Myriad,,"{""Java"": 601870, ""CSS"": 379699, ""JavaScript"": 183943, ""Shell"": 37700, ""HTML"": 26235, ""Python"": 12583, ""Ruby"": 9567, ""Dockerfile"": 2167}",Java,CSS,,,tdunning,Ted Dunning,,,,,,benh,Benjamin Hindman,,,,,,,,,,,,,,,,,,,,,,,,,>,,
Nemo is a data processing system to flexibly control the runtime behaviors of a job to adapt to varying deployment characteristics.,Nemo,current,nemo,Incubator,2018-02-04,,https://github.com/apache/incubator-Nemo,,"{""Java"": 2483136, ""Vue"": 92319, ""Scala"": 47879, ""Python"": 27708, ""JavaScript"": 26685, ""Shell"": 10454}",Java,Java,,,hyunsik,Hyunsik Choi,bgchun,Byung-Gon Chun,jbonofre,Jean-Baptiste Onofré,3,bgchun,Byung-Gon Chun,weimer,Markus Weimer,,,,,,,,,,,,,,,,,,,,,,,,,
"NetBeans is a development environment, tooling platform and application framework.",NetBeans,graduated,netbeans,Incubator,2016-10-01,2019-04-17,https://github.com/apache/NetBeans,,"{""Java"": 304575660, ""Standard ML"": 30677084, ""HTML"": 6796833, ""PHP"": 3323967, ""XSLT"": 1552950, ""JavaScript"": 1375586, ""C"": 591586, ""CSS"": 409322, ""Shell"": 386091, ""Lex"": 254914, ""Roff"": 150799, ""C++"": 134497, ""FreeMarker"": 131129, ""Groovy"": 118436, ""TypeScript"": 72079, ""GAP"": 70862, ""Makefile"": 59416, ""Smarty"": 41098, ""Latte"": 34565, ""Twig"": 33425, ""Batchfile"": 31017, ""Pug"": 28575, ""AspectJ"": 12305, ""Perl"": 10188, ""ANTLR"": 6444, ""SCSS"": 6107, ""Swift"": 5322, ""Haskell"": 3625, ""Less"": 3611, ""Grammatical Framework"": 1954, ""Hack"": 1870, ""Dockerfile"": 1079, ""NASL"": 931, ""Slash"": 885}",Java,Java,,true,ate,Ate Douma,bdelacretaz,Bertrand Delacretaz,humbedooh,Daniel Gruno,,bdelacretaz,Bertrand Delacretaz,struberg,Mark Struberg,,,,,,,,,,,,,,,,,,,,,,,,,
NiFi is a dataflow system based on the concepts of flow-based programming.,NiFi,graduated,nifi,Incubator,2014-11-24,2015-07-15,https://github.com/apache/NiFi,,"{""Java"": 51434657, ""JavaScript"": 3929076, ""Groovy"": 2603856, ""HTML"": 1000539, ""CSS"": 280153, ""Shell"": 180551, ""Handlebars"": 69052, ""Batchfile"": 44090, ""GAP"": 30934, ""Python"": 27236, ""Dockerfile"": 24269, ""Ruby"": 23018, ""SCSS"": 22530, ""XSLT"": 5681, ""Clojure"": 3993, ""PLpgSQL"": 1211, ""Lua"": 983, ""C++"": 652}",Java,Java,,true,billie,Billie Rinaldi,arvind,Arvind Prabhakar,wikier,Sergio Fernandez,,bimargulies,Benson Margulies,bimargulies,Benson Margulies,,,,,,brock,Brock Noland,drew,Drew Farris,apurtell,Andrew Purtell,,,,,,,,,,,,,,
.NET integration for Maven. Failed to build active community.,NMaven,retired,nmaven,Maven,2006-11-17,2008-11-13,,https://svn.apache.org/repos/asf/incubator/nmaven,,,,,,brett,Brett Porter,jvanzyl,Jason van Zyl,,,,"brett,jvanzyl","Brett Porter,Jason van Zyl",,,NPanday,npanday.html,Efforts moved to NPanday. Other similar projects are NMaven @ Codeplex (http://www.codeplex.com/nmaven/) and Byldan @ Codeplex (http://www.codeplex.com/byldan/).,,,,,,,,,,,,,,,,,,,,,,
A Java API for NLU applications,NLPCraft,current,nlpcraft,Incubator,2020-02-13,,https://github.com/apache/incubator-NLPCraft,,"{""Scala"": 2076295, ""Java"": 686068, ""HTML"": 19420, ""Shell"": 18674, ""Kotlin"": 15606, ""Python"": 14111, ""ANTLR"": 9282, ""Batchfile"": 7016, ""Jupyter Notebook"": 6247, ""Groovy"": 3126, ""Dockerfile"": 1335}",Scala,Scala,,,rvs,Roman Shaposhnik,kamaci,Furkan Kamaci,evansye,Evans Ye,2,cos,Konstantin Boudnik,paulk,Paul King,,,,,,cos,Konstantin I Boudnik,wave,Dave Fisher,,,,,,,,,,,,,,,,
NPanday allows projects using the .NET framework to be built with Apache Maven.,NPanday,retired,npanday,Incubator,2010-08-13,2015-02-08,https://github.com/apache/NPanday,,"{""C#"": 1212356, ""Java"": 1069144, ""Visual Basic"": 115680, ""Groovy"": 113168, ""ASP"": 18901, ""HTML"": 17887, ""Batchfile"": 1894, ""Shell"": 1503, ""CSS"": 807}",C#,C#,,,rbircher,Raphael Bircher,cos,Konstantin Boudnik,,,,,,,,,,,,Retired for lack of activity,,,,,,,,,,,,,,,,,,,,
Web search software.,Nutch,graduated,nutch,Incubator,2005-01-15,2005-06-01,https://github.com/apache/Nutch,,"{""Java"": 3399613, ""HTML"": 205540, ""Shell"": 30807, ""XSLT"": 3687, ""CSS"": 3332, ""Rich Text Format"": 2235, ""Dockerfile"": 1352, ""JavaScript"": 764}",Java,Java,,true,cutting,Doug Cutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NuttX is a mature, real-time embedded operating system (RTOS).",NuttX,current,nuttx,Incubator,2019-12-09,,https://github.com/apache/incubator-NuttX,,"{""C"": 134055382, ""Assembly"": 1567128, ""Makefile"": 596337, ""Shell"": 217003, ""Python"": 84896, ""C++"": 36995, ""Batchfile"": 20667, ""Dockerfile"": 13191, ""Perl"": 4034}",C,C,,,junping_du,Junping Du,jmclean,Justin Mclean,asifdxtreme,Mohammad Asif Siddiqui,1,junping_du,Junping Du,fpj,Flavio Paiva Junqueira,,,,,,zhangduo,Duo Zhang,,,,,,,,,,,,,,,,,,
"Nuvem defines an open application programming interface for common cloud application services, allowing applications to be easily ported across the most popular cloud platforms.
            The podling was voted to become part of Tuscany in Nov 2012 but (as of Aug 2014) nothing has happened. Tuscany was terminated in May 2016.",Nuvem,graduated,nuvem,Incubator,2010-06-24,2012-11-29,https://github.com/apache/Nuvem,,"{""Java"": 232592, ""Python"": 107107, ""HTML"": 18414, ""CSS"": 3243}",Java,Java,,,jfclere,Jean-Frederic Clere,antelder,Anthony Elder,dwoods,Donald Woods,,,,,,Tuscany,http://tuscany.apache.org/,,,,,,,,,,,,,,,,,,,,,,,
Orchestration Director Engine,Ode,graduated,ode,Incubator,2006-02-17,2007-07-18,https://github.com/apache/Ode,,"{""Java"": 5649254, ""JavaScript"": 248611, ""Ruby"": 107187, ""HTML"": 41741, ""CSS"": 35867, ""Shell"": 11659, ""TSQL"": 10000, ""XSLT"": 6703, ""Batchfile"": 6359, ""Groovy"": 4205}",Java,Java,,true,pzf,Paul Fremantle,niclas,Niclas Hedhman,dims,Davanum Srinivas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Java modules that allow programmatic creation, scanning and manipulation of OpenDocument Format (ISO/IEC 26300 == ODF) documents",ODF Toolkit,retired,odftoolkit,Incubator,2011-08-01,2018-11-27,https://github.com/apache/ODFToolkit,,"{""Java"": 16465122, ""XSLT"": 273011, ""Python"": 5215}",Java,Java,,,nick,Nick Burch,magicaltrout,Tom Barber,,,,,,,,ODFToolkit,http://odftoolkit.org/,Retired from the ASF and moved to The Document Foundation,odf,,,,,,,,,,,,,,,,,,,,,
The Open For Business Project (OFBiz) is an open source enterprise automation software project.,OFBiz,graduated,ofbiz,Incubator,2006-01-31,2006-12-20,https://github.com/apache/OFBiz,,"{""Java"": 14389027, ""HTML"": 8319296, ""FreeMarker"": 3384978, ""JavaScript"": 2661637, ""Groovy"": 1262135, ""CSS"": 1205731, ""Shell"": 27967, ""Makefile"": 22007, ""Batchfile"": 8815, ""Roff"": 4118, ""Ruby"": 2533, ""XSLT"": 1712, ""PHP"": 150}",Java,XML,,true,davidw,David N. Welton,yoavs,Yoav Shapira,farra,J. Aaron Farr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Object-Graph Notation Language implementation in Java,OGNL,graduated,ognl,Incubator,2011-04-26,2011-08-30,https://github.com/apache/commons-ognl,,"{""Java"": 1122917, ""Shell"": 942}",Java,Java,,,grobmeier,Christian Grobmeier,jochen,Jochen Wiedmann,olamy,Olivier Lamy,,lukaszlenart,Lukasz Lenart,upayavira,Upayavira,Commons OGNL,http://commons.apache.org/ognl,,,,,,,,,,,,,,,,,,,,,,,
OData implementation in Java,Olingo,graduated,olingo,Incubator,2013-07-08,2014-03-19,,https://svn.apache.org/repos/asf/olingo,,,,,true,adc,Alan Cabrera,wave,Dave Fisher,fmui,Florian Müller,,fmui,Florian Müller,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web 2.0 evaluation kit,Olio,retired,olio,Incubator,2008-09-29,2011-11-16,,https://svn.apache.org/repos/asf/incubator/olio,,,,,,clr,Craig Russell,henning,Henning Schmiedehausen,hogstrom,Matt Hogstrom,,,,rhillegas,Rick Hillegas,,,,,,,,,,,,,,,,,,,,,,,,,
"Omid is a flexible, reliable, high performant and scalable ACID transactional framework that allows client applications to execute transactions on top of MVCC key/value-based NoSQL datastores (currently Apache HBase) providing Snapshot Isolation guarantees on the accessed data.",Omid,graduated,omid,Incubator,2016-03-28,2019-11-15,https://github.com/apache/incubator-Omid,,"{""Java"": 1483414, ""Shell"": 7136}",Java,Java,,,gates,Alan Gates,jamestaylor,James Taylor,larsh,Lars Hofhansl,,daijy,Daniel Dai,,,Phoenix Omid,https://phoenix.apache.org/omid.html,,,,,,,,,,,,,,,,,,,,,,,
"Apache Onami aims to create a community focused on the development and maintenance of a set of Google Guice extensions not provided out of the box by the library itself nor the Google developers team, such as integration with 3rd part frameworks or extra functionalities.",Onami,graduated,onami,Incubator,2012-11-14,2013-04-17,https://github.com/apache/Onami,,"{""Java"": 1403601, ""Shell"": 4274}",Java,Java,,true,grobmeier,Christian Grobmeier,mnour,Mohammad Nour El-Din,olamy,Olivier Lamy,,simonetripodi,Simone Tripodi,,,,,,,,,,,,,,,,,,,,,,,,,,,
